GALAXY,PGC,DIST,INCL,PA,HAS_BAR,OM_P_ALMA,OM_P_ALMA_ERR_UP,OM_P_ALMA_ERR_DOWN,OM_P_ALMA_QUAL,OM_P_MUSE_MASS,OM_P_MUSE_MASS_ERR_UP,OM_P_MUSE_MASS_ERR_DOWN,OM_P_MUSE_MASS_QUAL,OM_P_MUSE_HA,OM_P_MUSE_HA_ERR_UP,OM_P_MUSE_HA_ERR_DOWN,OM_P_MUSE_HA_QUAL,R_CR_ALMA_1,R_CR_ALMA_1_ERR,R_CR_MUSE_MASS_1,R_CR_MUSE_MASS_1_ERR,R_CR_MUSE_HA_1,R_CR_MUSE_HA_1_ERR,LITERATURE_OM_P,LITERATURE_OM_P_ERR,LITERATURE_OM_P_REF
NGC4579,42168,21.0,40.220001220703125,91.30000305175781,1,23.996504858850678,5.489714682175548,6.454447998673123,2.0,,,,,,,,,8.21875,1.78125,,,,,40.093759083520524,5.021229790346023,2019PASJ...71S..16S
NGC4596,42401,15.760000228881836,36.560001373291016,120.0,0,1289.9854935481062,604.7220543097616,754.0906222522996,4.0,,,,,,,,,,,,,,,53.54109021810737,13.385272554526843,1999MNRAS.306..926G
NGC4654,42857,21.979999542236328,55.599998474121094,123.19999694824219,1,19.034274845497503,0.8046272276673783,0.1781027343643825,1.0,,,,,,,,,8.307917070388793,1.7662500858306895,,,,,,,
NGC4689,43186,15.0,38.70000076293945,164.10000610351562,0,35.054018609954056,0.6995495810055523,0.8288409939153275,1.0,,,,,,,,,3.794643074274063,0.5357143163681028,,,,,,,
NGC4694,43241,15.760000228881836,60.70000076293945,143.3000030517578,0,95.8559496050951,12.016559363317672,7.329966961692368,4.0,,,,,,,,,,,,,,,,,
NGC4731,43507,13.279999732971191,64.0,255.39999389648438,1,22.74536344957969,5.046110379835777,10.643103138801765,4.0,,,,,,,,,,,,,,,,,
NGC4781,43902,11.3100004196167,59.0,290.0,1,32.78811123502654,0.9365848342329302,0.8382702315359456,1.0,,,,,,,,,3.8624021977186205,0.720735338330269,,,,,,,
NGC4826,44182,4.409999847412109,59.099998474121094,293.6000061035156,0,236.90399981773297,48.629985800591264,25.986485229442597,3.0,,,,,,,,,0.8091742515563964,0.30344034433364864,,,,,,,
NGC4941,45165,15.0,53.400001525878906,202.1999969482422,1,46.19581835784487,0.15818880050765619,0.17801367616026578,1.0,,,,,,,,,3.6696427404880523,0.2410714209079745,,,,,,,
NGC4951,45246,15.0,70.19999694824219,91.19999694824219,0,64.01871999456623,1.5746918916017805,1.300282135538451,3.0,,,,,,,,,0.125,0.125,,,,,,,
NGC5042,46126,16.780000686645508,49.400001525878906,190.60000610351562,0,28.062476352375345,0.4999892647731304,0.47850960125179953,1.0,,,,,,,,,4.161706566810608,0.898928618431091,,,,,,,
NGC5068,46400,5.159999847412109,35.70000076293945,342.3999938964844,1,18.54874201643749,0.3346274844416398,3.3497498056831128,1.0,16.311199565713757,2.012922462369845,9.42020706360071,3.0,15.754468052931582,4.458714443077116,2.02885944930008,1.0,0.175,0.175,1.0750000000000002,1.0750000000000002,0.175,0.175,,,
NGC5128,46957,3.690000057220459,45.33000183105469,32.16999816894531,0,644.1032301720504,376.154033302569,1416.9167408650437,3.0,,,,,,,,,,,,,,,,,
NGC5134,46938,19.920000076293945,22.700000762939453,311.6000061035156,1,31.118469104736416,4.022556352436122,1.302927077273032,1.0,,,,,,,,,0.34994593262672424,0.34994593262672424,,,,,,,
NGC5248,48130,14.869999885559082,47.400001525878906,109.19999694824219,1,47.99325361287535,6.609595669886198,10.787938368072236,3.0,,,,,,,,,4.71273618042469,2.3710039168596264,,,,,14.011091501554919,,2001MNRAS.324..891L
NGC5530,51106,12.270000457763672,61.900001525878906,305.3999938964844,0,32.76020514243745,0.8021241266794918,0.34222707408804676,1.0,,,,,,,,,0.10398305654525758,0.10398305654525758,,,,,,,
NGC5643,51969,12.680000305175781,29.899999618530273,318.70001220703125,1,54.67662119898446,5.61452919643784,5.269161421080835,1.0,,,,,,,,,0.10745762586593628,0.10745762586593628,,,,,,,
NGC6300,60001,11.579999923706055,49.599998474121094,105.4000015258789,1,41.73969266584889,4.064540663180805,4.829355583442925,3.0,,,,,,,,,4.419847130775452,1.3259541392326355,,,,,34.50099798784738,10.22251792232515,1996ApJ...460..665R
NGC6744,62836,9.390000343322754,52.70000076293945,14.0,1,27.66962907121195,0.046514070894459546,0.10955718386549505,1.0,,,,,,,,,6.128210711479187,0.4447894871234892,,,,,,,
NGC7456,70304,15.699999809265137,67.30000305175781,16.0,0,23.947703656567125,0.5942864499940914,0.7820243276306483,1.0,,,,,,,,,3.954659938812256,0.8897984862327579,,,,,,,
NGC7496,70588,18.719999313354492,35.900001525878906,193.6999969482422,1,24.447326735549822,3.123518810204545,2.965054005492957,1.0,16.755889967448002,6.491045242764537,12.121541077849448,1.0,23.042916844931163,7.526369432307338,4.283164414597728,3.0,4.25454506278038,1.9520853817462918,4.25454506278038,1.9520853817462918,4.029304441809654,2.1773260027170176,,,
NGC7743,72263,20.31999969482422,37.099998474121094,86.23999786376953,0,-13.885129529717494,31.003104168187196,17.808158522661476,4.0,,,,,,,,,,,,,,,,,
