experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
315,2.2829257614309775,1.1134311632653997,-1.1694945981655813
316,-0.43591088311002224,-1.4650622199638086,-1.0291513368537828
317,2.162149735295703,0.9692157175474883,-1.192934017748211
318,1.1581702690311353,0.501651950347398,-0.6565183186837338
319,-2.037027553814422,-2.8793039664455797,-0.8422764126311613
320,2.984487001236129,2.827148624328064,-0.1573383769080685
321,1.1851656361016047,-0.01908707852235736,-1.2042527146239586
322,0.9586892181238831,-0.7596913317296234,-1.718380549853503
323,2.1067329795175134,1.462956814559771,-0.6437761649577389
324,-2.246118054898279,-2.256082419159892,-0.00996436426161651
325,-2.349582594119692,-2.6400917970800144,-0.2905092029603189
326,-0.04123863695589236,-1.0819427264645434,-1.0407040895086475
327,-0.19197853527353104,-0.6630392160885172,-0.47106068081498265
328,-2.060162852926357,-1.6043395267320442,0.45582332619430943
329,1.5550923960864687,1.9078685391397237,0.35277614305325145
330,-2.629678728390413,2.039553660022367,-1.6139529187667954
331,-0.39905676717082983,-0.9425079625829191,-0.5434511954120858
332,-1.5880021644931723,-2.2088108886219793,-0.6208087241288034
333,-3.087870189008232,2.510901092355187,-0.6844140258161637
334,-1.6668819266569521,-2.6687014831481015,-1.001819556491153
335,-1.5493011196102167,2.8689599771792196,-1.8649242103901393
336,-1.0466338588393391,-1.441740917784852,-0.39510705894550924
337,1.1449515217119917,0.033542105976426484,-1.1114094157355616
338,1.5733728062300365,1.5975822147213954,0.02420940849136244
339,-2.6877389555138542,2.7192609341071154,-0.876185417558613
340,-3.1102465669915524,2.5474732067961945,-0.6254655333918286
341,2.881772705516635,2.2066199806802764,-0.6751527248363622
342,-0.9106732307984053,-0.7262260734415058,0.1844471573569031
343,-0.9663992050183303,-2.3070945251118395,-1.3406953200935128
344,0.7868978217622988,-0.31343325363135577,-1.100331075393651
345,0.7679526793122342,0.2623235760182361,-0.5056291032939946
346,-3.008733246223418,1.9453915636950505,-1.329060497261107
347,0.6669168142199631,0.6383407442444344,-0.028576069975525087
348,2.5759346825254745,2.7102598483789997,0.13432516585352872
349,1.3605864989398633,0.8499291322734344,-0.5106573666664325
350,1.5906678488928527,1.237585699385395,-0.3530821495074541
351,-2.0032121998482886,-0.9002076981358265,1.1030045017124657
352,-0.057491830842845815,-0.3122239226276484,-0.25473209178479905
353,-2.579378899014838,-3.044039577768036,-0.4646606787532015
354,-1.2368109884997374,-1.43722772118306,-0.20041673268331905
355,-2.3349636131669946,-2.987863277453858,-0.6528996642868599
356,-2.377002288666308,-2.5802433085044676,-0.20324101983815623
357,1.5333794202507356,-0.0646608973514411,-1.5980403176021802
358,1.8255010155351847,1.701276948565944,-0.12422406696924426
359,2.202431300001141,2.509761700531943,0.3073304005308053
360,0.5657822817535028,0.3468505971769993,-0.21893168457649992
361,2.7944582609442854,1.7028559194971287,-1.0916023414471532
362,1.8451855506226629,1.5247987613779195,-0.32038678924474695
363,2.7612966880482155,2.4621582725735998,-0.2991384154746122
364,-2.146140996726995,-2.1297024651138834,0.016438531613108154
365,2.550452991861288,1.2984062323571415,-1.2520467595041502
366,-0.7986611630633966,-1.0270471479053889,-0.2283859848419887
367,2.5924574166133034,1.3719538208476258,-1.220503595765674
368,-2.087931917107145,-2.062191233930779,0.025740683176369572
369,-1.1546170428004778,-1.9715697789529507,-0.8169527361524693
370,-2.5573783433139035,-2.994626378421149,-0.43724803510724186
371,0.2536773578857954,-0.932737121567424,-1.1864144794532159
372,0.927553568583992,-0.006285928796000206,-0.9338394973799886
373,-1.4902019602745717,-1.7224243567213158,-0.23222239644674048
374,1.6803124536310285,1.5216255154752822,-0.15868693815574986
375,-0.8455778857578444,-1.697957488969518,-0.85237960321167
