mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
385,C,16.863,0.175,AF310,AF310_1_50385.13189_50385.15255.exp,A,7,7215104,1
385,D,5.695,0.101,AF310,AF310_1_50385.13189_50385.15255.exp,A,7,7215104,1
387,A,34.217,0.317,,,,,,0
387,B,16.883,0.161,,,,,,0
387,C,16.831,0.160,,,,,,0
387,D,5.997,0.070,,,,,,0
388,A,33.381,0.299,AF310,AF310_1_50388.02066_50388.06123.exp,A,15,15468544,1
388,B,16.884,0.155,AF310,AF310_1_50388.02066_50388.06123.exp,A,15,15468544,1
388,C,17.002,0.156,AF310,AF310_1_50388.02066_50388.06123.exp,A,15,15468544,1
388,D,6.000,0.066,AF310,AF310_1_50388.02066_50388.06123.exp,A,15,15468544,1
390,A,34.845,0.283,AF310,AF310_1_50390.93027_50390.97002.exp,A,15,15681536,1
390,B,17.365,0.149,AF310,AF310_1_50390.93027_50390.97002.exp,A,15,15681536,1
390,C,17.429,0.150,AF310,AF310_1_50390.93027_50390.97002.exp,A,15,15681536,1
390,D,5.881,0.073,AF310,AF310_1_50390.93027_50390.97002.exp,A,15,15681536,1
394,A,32.744,0.307,,,,,,0
394,B,16.811,0.174,,,,,,0
394,C,16.898,0.175,,,,,,0
394,D,5.727,0.101,,,,,,0
395,A,33.060,0.297,AF310,AF310_1_50395.70712_50395.74861.exp,A,15,15042560,1
395,B,17.276,0.159,AF310,AF310_1_50395.70712_50395.74861.exp,A,15,15042560,1
395,C,16.715,0.154,AF310,AF310_1_50395.70712_50395.74861.exp,A,15,15042560,1
395,D,5.763,0.064,AF310,AF310_1_50395.70712_50395.74861.exp,A,15,15042560,1
398,A,32.795,0.295,,,,,,0
398,B,16.705,0.154,,,,,,0
398,C,16.995,0.157,,,,,,0
398,D,5.755,0.065,,,,,,0
399,A,33.422,0.304,AF310,AF310_1_50398.69890_50398.74034.exp,A,15,14962688,1
399,B,16.830,0.162,AF310,AF310_1_50398.69890_50398.74034.exp,A,15,14962688,1
399,C,16.661,0.161,AF310,AF310_1_50398.69890_50398.74034.exp,A,15,14962688,1
399,D,5.874,0.082,AF310,AF310_1_50398.69890_50398.74034.exp,A,15,14962688,1
402,A,33.927,0.271,AF310,AF310_1_50402.85654_50402.89572.exp,A,15,15095808,1
402,B,16.943,0.139,AF310,AF310_1_50402.85654_50402.89572.exp,A,15,15095808,1
402,C,16.840,0.138,AF310,AF310_1_50402.85654_50402.89572.exp,A,15,15095808,1
402,D,6.036,0.060,AF310,AF310_1_50402.85654_50402.89572.exp,A,15,15095808,1
405,A,33.846,0.296,AF310,AF310_1_50405.78455_50405.82512.exp,A,15,14155776,1
405,B,16.740,0.150,AF310,AF310_1_50405.78455_50405.82512.exp,A,15,14155776,1
405,C,17.107,0.153,AF310,AF310_1_50405.78455_50405.82512.exp,A,15,14155776,1
405,D,5.910,0.062,AF310,AF310_1_50405.78455_50405.82512.exp,A,15,14155776,1
410,A,34.527,0.310,AF310,AF310_1_50410.83235_50410.87384.exp,A,15,16267264,1
410,B,16.966,0.156,AF310,AF310_1_50410.83235_50410.87384.exp,A,15,16267264,1
410,C,17.294,0.159,AF310,AF310_1_50410.83235_50410.87384.exp,A,15,16267264,1
410,D,5.813,0.064,AF310,AF310_1_50410.83235_50410.87384.exp,A,15,16267264,1
414,A,33.878,0.308,AF310,AF310_1_50414.98860_50415.02917.exp,A,15,15468544,1
414,B,17.096,0.160,AF310,AF310_1_50414.98860_50415.02917.exp,A,15,15468544,1
414,C,17.447,0.163,AF310,AF310_1_50414.98860_50415.02917.exp,A,15,15468544,1
414,D,5.813,0.067,AF310,AF310_1_50414.98860_50415.02917.exp,A,15,15468544,1
418,A,34.996,0.315,AF310,AF310_1_50418.68640_50418.72731.exp,A,15,15282176,1
418,B,17.054,0.159,AF310,AF310_1_50418.68640_50418.72731.exp,A,15,15282176,1
418,C,17.632,0.164,AF310,AF310_1_50418.68640_50418.72731.exp,A,15,15282176,1
418,D,5.807,0.071,AF310,AF310_1_50418.68640_50418.72731.exp,A,15,15282176,1
422,A,35.218,0.315,AF310,AF310_1_50422.71649_50422.73715.exp,A,9,7161856,1
